N,r,epsilon,eta,recall,cr_ann_acc,memory_MB
8000,1.0,1.0,0.5,0.9200,1.0,0.7710075378417969
8000,1.0,1.0,0.6,0.5400,1.0,0.7304840087890625
8000,1.0,1.0,0.7,0.1200,1.0,0.6554489135742188
8000,1.0,1.0,0.8,0.0400,1.0,0.62701416015625
96000,1.0,0.5,0.2,1.0000,1.0,185.3052978515625
96000,1.0,0.5,0.3,1.0000,1.0,99.27851104736328
96000,1.0,0.5,0.4,1.0000,1.0,60.56547546386719
96000,1.0,0.5,0.5,1.0000,1.0,41.290740966796875
96000,1.0,0.5,0.6,0.4000,1.0,29.96208953857422
96000,1.0,0.5,0.7,0.0800,1.0,25.429931640625
96000,1.0,1.0,0.2,1.0000,1.0,15.892566680908203
96000,1.0,1.0,0.3,1.0000,1.0,8.457996368408203
96000,1.0,1.0,0.4,1.0000,1.0,5.2533721923828125
96000,1.0,1.0,0.5,1.0000,1.0,4.0133514404296875
96000,1.0,1.0,0.6,1.0000,1.0,3.230030059814453
96000,1.0,1.0,0.7,0.3600,1.0,2.7945938110351562
