N,r,epsilon,eta,recall,cr_ann_acc,memory_MB
1000,1.0,0.5,0.2,1.0000,1.0,1.2352256774902344
1000,1.0,0.5,0.3,1.0000,1.0,1.0478248596191406
1000,1.0,0.5,0.4,0.7800,1.0,0.9371299743652344
1000,1.0,0.5,0.5,0.2600,1.0,0.87347412109375
1000,1.0,0.5,0.6,0.1800,1.0,0.8323097229003906
1000,1.0,0.5,0.7,0.0800,1.0,0.7937889099121094
1000,1.0,0.5,0.8,0.0400,1.0,0.7727241516113281
1000,1.0,1.0,0.2,1.0000,1.0,0.28594970703125
1000,1.0,1.0,0.3,1.0000,1.0,0.25902557373046875
1000,1.0,1.0,0.4,0.8000,1.0,0.23375701904296875
1000,1.0,1.0,0.5,0.5400,1.0,0.224212646484375
1000,1.0,1.0,0.6,0.3800,1.0,0.21923828125
1000,1.0,1.0,0.7,0.1400,1.0,0.20679473876953125
1000,1.0,1.0,0.8,0.0200,1.0,0.1983489990234375
128000,1.0,0.5,0.2,1.0000,1.0,274.95447158813477
128000,1.0,0.5,0.3,1.0000,1.0,143.9029312133789
128000,1.0,0.5,0.4,1.0000,1.0,80.8795051574707
128000,1.0,0.5,0.5,1.0000,1.0,52.09962463378906
128000,1.0,0.5,0.6,0.2400,1.0,37.823951721191406
128000,1.0,0.5,0.7,0.0400,1.0,30.68618392944336
128000,1.0,1.0,0.2,1.0000,1.0,22.178417205810547
128000,1.0,1.0,0.3,1.0000,1.0,11.067981719970703
128000,1.0,1.0,0.4,1.0000,1.0,6.722724914550781
128000,1.0,1.0,0.5,1.0000,1.0,4.997493743896484
128000,1.0,1.0,0.6,1.0000,1.0,3.832080841064453
128000,1.0,1.0,0.7,0.3800,1.0,3.3368301391601562
160000,1.0,0.5,0.2,1.0000,1.0,353.18935775756836
160000,1.0,0.5,0.3,0.4800,1.0,177.64155197143555
160000,1.0,0.5,0.4,0.2400,1.0,103.13899993896484
160000,1.0,0.5,0.5,0.0200,1.0,61.601959228515625
160000,1.0,0.5,0.6,0.0000,1.0,45.21649932861328
160000,1.0,0.5,0.7,0.0200,1.0,35.613311767578125
160000,1.0,1.0,0.2,1.0000,1.0,26.550365447998047
160000,1.0,1.0,0.3,1.0000,1.0,13.49822998046875
160000,1.0,1.0,0.4,0.7400,1.0,8.27798843383789
160000,1.0,1.0,0.5,0.1800,1.0,5.6033935546875
160000,1.0,1.0,0.6,0.0800,1.0,4.2708587646484375
160000,1.0,1.0,0.7,0.0000,1.0,3.615795135498047
16000,1.0,0.5,0.2,1.0000,1.0,22.161720275878906
16000,1.0,0.5,0.3,1.0000,1.0,14.449325561523438
16000,1.0,0.5,0.4,1.0000,1.0,10.789390563964844
16000,1.0,0.5,0.5,0.8600,1.0,8.531463623046875
16000,1.0,0.5,0.6,0.4400,1.0,7.077217102050781
16000,1.0,0.5,0.7,0.1200,1.0,6.5987701416015625
