29
Log Mean Error
Sketch size in KB
L2 Hash
Mean Relative Error vs Sketch size
/mnt/HDD-1/srijan/Streaming-ANN-and-Sliding-Window-KDE/Code/SlidingWindowKDE/Outputs/image/Effect_of_sketch_size_image.pdf
15.28125,-3.421589272146788
30.5625,-3.675816878750918
45.234375,-4.391525333262898
61.453125,-4.1921378600617265
75.328125,-4.7305060116973685
90.75,-4.0625945911223935
106.125,-4.970720156033567
120.375,-4.819257207235078
137.859375,-4.336716413420208
152.625,-3.860122653244125
167.203125,-4.325881873342294
180.65625,-3.710751572184323
198.140625,-4.747631806389046
217.3125,-4.8692694274268264
227.671875,-5.1862374282866694
251.25,-4.083138367852644
258.65625,-4.785784491259989
272.390625,-4.998746323897882
291.234375,-4.829827002854051
311.0625,-4.685444486015291
318.796875,-4.948662468494529
336.5625,-5.117034213392834
350.71875,-5.092765394302945
361.359375,-4.720123577787028
378.046875,-4.764779470382925
390.421875,-4.710019548518961
410.578125,-5.360222162653687
427.546875,-4.955541826529749
440.0625,-4.8178311053393745
